portNumber,portName,regionNumber,regionName,countryCode,countryName,latitude,longitude,publicationNumber,chartNumber,navArea,harborSize,harborType,shelter,erTide,erSwell,erIce,erOther,overheadLimits,chDepth,anDepth,cpDepth,otDepth,tide,maxVesselLength,maxVesselBeam,maxVesselDraft,goodHoldingGround,turningArea,firstPortOfEntry,usRep,ptCompulsory,ptAvailable,ptLocalAssist,ptAdvisable,tugsSalvage,tugsAssist,qtPratique,qtOther,cmTelephone,cmTelegraph,cmRadio,cmRadioTel,cmAir,cmRail,loWharves,loAnchor,loMedMoor,loBeachMoor,loIceMoor,medFacilities,garbageDisposal,degauss,dirtyBallast,crFixed,crMobile,crFloating,lifts100,lifts50,lifts25,lifts0,srLongshore,srElectrical,srSteam,srNavigEquip,srElectRepair,suProvisions,suWater,suFuel,suDiesel,suDeck,suEngine,repairCode,drydock,railway,qtSanitation,suAviationFuel,harborUse,ukcMgmtSystem,portSecurity,etaMessage,searchAndRescue,tss,vts,cht,globalId,loRoro,loSolidBulk,loContainer,loBreakBulk,loOilTerm,loLongTerm,loOther,loDangCargo,loLiquidBulk,srIceBreaking,srDiving,cranesContainer,unloCode,dnc,s121WaterBody,s57Enc,s101Enc,dodWaterBody,alternateName,entranceWidth,lngTerminalDepth,offMaxVesselLength,offMaxVesselBeam,offMaxVesselDraft,
37170,Ambes,36450,FRANCE WEST COAST,FR,France,"45°01'00""N","0°32'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,,II,S,RN,E,Y,U,U,U,Y,6,9,9,9,13,,,,U,U,U,U,Y,,,U,U,Y,U,U,U,U,U,U,Y,U,U,U,U,U,U,Y,Y,U,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,Y,Y,Y,U,U,D,U,U,U,U,UNK,U,U,Y,U,U,U,U,{701570B9-62C9-4AE0-BEDF-2D345D288290},U,U,U,U,U,U,U,U,U,U,U,U,FR AMS,"a0837190, gen08b, h0837190",,,,Bay of Biscay; North Atlantic Ocean,Bec Dambes,,,,,,
38980,Antibes,38710,FRANCE SOUTH COAST,FR,France,"43°35'00""N","7°08'00""E",Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,"53084, 53086",III,V,CB,G,N,N,N,N,U,6,9,6,,1,,,,N,U,U,U,N,,,U,N,N,U,U,U,U,Y,U,Y,Y,Y,Y,U,U,U,Y,U,U,N,U,Y,U,U,U,U,Y,U,Y,U,U,Y,U,U,Y,Y,U,U,C,M,S,Y,U,UNK,U,U,Y,U,U,U,U,{48E63B8E-CE3A-4AF4-8F65-C076E02F8305},U,U,U,U,U,U,U,U,U,U,U,U,FR ANT,"a0838960, coa08k, gen08a, h0838990",,,,Mediterranean Sea; North Atlantic Ocean,,,,,,,
11360,Baie Du Marigot,11355,ST MARTIN,FR,France,"18°04'00""N","63°05'00""W",Sailing Directions Pub. 147 (Enroute) - Caribbean Sea - Volume I,25608,IV,V,OR,G,N,N,N,Y,N,6,6,5,,2,,,,Y,U,Y,Y,U,,,U,U,U,U,U,U,U,Y,U,Y,U,U,Y,U,U,U,Y,U,U,N,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,UNK,U,U,Y,U,U,U,U,{61822ECE-9B58-4038-9AB3-959DE4C695FE},U,U,U,U,U,U,U,U,U,U,U,U,,"a1611370, coa16b, gen16, h1611370",,,,Caribbean Sea; North Atlantic Ocean,,,,,,,
39060,Bastia,39040,CORSE,FR,France,"42°42'00""N","9°27'00""E",Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,"53100, 53120",III,V,CB,F,U,U,U,Y,U,17,23,8,9,1,,,,Y,U,U,N,Y,,,U,N,N,U,U,Y,Y,Y,U,Y,Y,Y,Y,U,U,U,Y,Y,U,N,U,Y,U,U,U,U,Y,Y,U,U,U,U,U,Y,Y,Y,U,U,C,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{71A2DB5A-7F97-4D2B-833B-4CFFBF45F06B},U,U,U,U,U,U,U,U,U,U,U,U,FR BIA,"a0839060, coa08k, gen08a, h0839060",,,,Ligurian Sea; Mediterranean Sea; North Atlantic Ocean,,,,,,,
37230,Bayonne,36450,FRANCE WEST COAST,FR,France,"43°30'00""N","1°28'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,37032,II,M,RN,E,Y,U,U,Y,U,5,23,9,,3,,,,N,N,Y,N,Y,,,Y,U,Y,Y,Y,Y,Y,Y,U,Y,Y,Y,U,U,U,U,Y,U,U,Y,Y,Y,U,U,Y,Y,Y,Y,U,U,Y,Y,Y,Y,Y,Y,Y,Y,C,S,U,Y,U,UNK,U,U,Y,U,U,U,U,{D368703E-3255-42E9-9DCF-219037E2E38F},U,U,U,U,U,U,U,U,U,U,U,U,FR BAY,"a0837230, coa08c, gen08b",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
37160,Blaye,36450,FRANCE WEST COAST,FR,France,"45°08'00""N","0°40'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,,II,S,RN,E,Y,U,U,U,U,8,9,6,6,13,,,,U,U,U,U,Y,,,U,U,Y,U,U,U,U,U,U,Y,Y,Y,U,U,U,U,U,Y,U,Y,Y,Y,U,U,U,U,Y,U,U,U,U,U,U,Y,Y,Y,U,U,C,U,U,U,U,UNK,U,U,Y,U,U,U,U,{47DED57F-DB97-4ADC-85DF-05338F1F4755},U,U,U,U,U,U,U,U,U,U,U,U,FR BYE,"a0837190, gen08b, h0837190",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
39080,Bonifacio,39040,CORSE,FR,France,"41°23'00""N","9°10'00""E",Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,53287,III,V,CN,E,U,U,U,U,U,11,11,8,,0,,,,U,U,Y,U,Y,,,U,N,N,Y,U,Y,Y,U,U,Y,U,Y,Y,U,U,U,Y,U,U,U,Y,U,U,U,U,U,Y,U,U,U,U,U,Y,Y,N,N,U,U,N,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{31B24397-E0A7-4E3F-B811-284DAE9A2F4E},U,U,U,U,U,U,U,U,U,U,U,U,FR BON,"a0839140, coa08k, gen08a",,,,Mediterranean Sea; North Atlantic Ocean,,,,,,,
37190,Bordeaux,36450,FRANCE WEST COAST,FR,France,"44°52'00""N","0°34'00""W",Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,,II,L,RT,E,N,Y,N,U,Y,13,9,8,,0,,,,U,Y,Y,Y,Y,,,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,Y,Y,Y,Y,Y,Y,Y,Y,A,M,U,Y,U,UNK,U,U,Y,U,U,U,U,{E3EF5281-8AA9-4BD5-998C-2BD04885152D},U,U,U,U,U,U,U,U,U,U,U,U,FR BOD,"a0837190, gen08b, h0837190",,,,Bay of Biscay; North Atlantic Ocean,,,,,,,
35760,Boulogne-Sur-Mer,35720,FRANCE NW COAST,FR,France,"50°44'00""N","1°36'00""E",Sailing Directions Pub. 191 (Enroute) - English Channel,37103,I,M,RT,G,N,N,N,N,Y,5,14,11,3,8,,,,U,U,Y,N,Y,,,Y,U,Y,Y,Y,Y,Y,Y,U,Y,Y,U,U,U,U,U,Y,U,U,N,Y,Y,U,U,U,Y,Y,Y,U,U,U,U,U,Y,Y,Y,U,U,C,S,L,U,U,UNK,U,U,Y,U,U,U,U,{8B24102C-2B56-47CB-BBAE-35716220DC0A},U,U,U,U,U,U,U,U,U,U,U,U,FR BOL,"a2035710, coa20c, gen20b, h2035760",,,,English Channel; North Atlantic Ocean,,,,,,,
35750,Calais,35720,FRANCE NW COAST,FR,France,"50°58'00""N","1°51'00""E",Sailing Directions Pub. 191 (Enroute) - English Channel,37121,I,S,CB,G,Y,N,N,Y,Y,8,19,11,,6,,,,Y,U,Y,N,Y,,,Y,U,Y,Y,Y,Y,Y,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,U,U,U,Y,Y,Y,U,U,U,U,Y,Y,Y,Y,Y,Y,A,S,S,Y,U,UNK,U,U,Y,U,U,U,U,{CF461724-7B84-444C-8DDD-6C974C00E093},U,U,U,U,U,U,U,U,U,U,U,U,FR CQF,"a2035710, gen20b, h2035730",,,,English Channel; North Atlantic Ocean,,,,,,,
